,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
30428,25804387,106783508,2016-12-10,f,1.0,t,Flatbush,Brooklyn,40.65374,-73.96104,t,Apartment,Private room,1.0,1.0,Real Bed,$35.00,0
30430,25804970,11280566,2014-01-14,t,1.0,t,Brooklyn Heights,Brooklyn,40.69872,-73.99338,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,3
30434,25807578,22208953,2014-10-06,f,1.0,t,Prospect-Lefferts Gardens,Brooklyn,40.65548,-73.95707,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$100.00,0
30441,25812700,33290222,2015-05-13,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.682790000000004,-73.91946999999999,t,Apartment,Entire home/apt,3.0,6.0,Real Bed,$125.00,121
30443,25812852,1292274,2011-10-14,f,2.0,t,Upper East Side,Manhattan,40.78175,-73.94797,t,Apartment,Private room,1.0,0.0,Real Bed,$111.00,86
30464,25829582,117543014,2017-02-21,f,1.0,t,Rego Park,Queens,40.72691,-73.85478,t,House,Private room,1.0,1.0,Real Bed,$38.00,0
30467,25832499,2412677,2012-05-19,f,3.0,t,Chinatown,Manhattan,40.71463,-73.99216,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,0
30468,25832504,1524825,2011-12-21,f,2.0,t,Tribeca,Manhattan,40.72273,-74.01049,t,Loft,Entire home/apt,2.0,2.0,Real Bed,"$1,000.00",178
30483,25842433,48183551,2015-11-04,t,5.0,t,Elmhurst,Queens,40.7448,-73.88176999999999,t,House,Private room,1.0,1.0,Real Bed,$45.00,295
30484,25842535,35967771,2015-06-16,f,1.0,t,Williamsburg,Brooklyn,40.720209999999994,-73.95949,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$180.00,0
30486,25844166,7266843,2013-07-03,f,1.0,t,SoHo,Manhattan,40.7258,-74.0015,t,Apartment,Private room,1.0,1.0,Real Bed,$45.00,0
30488,25845142,46782979,2015-10-17,f,1.0,t,Bushwick,Brooklyn,40.69907,-73.92348,t,Apartment,Private room,1.0,1.0,Real Bed,$150.00,0
30491,25855717,7810310,2013-07-29,f,1.0,t,Cobble Hill,Brooklyn,40.685,-73.99965999999999,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$100.00,0
30492,25855773,13307646,2014-03-19,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.695370000000004,-73.95642,t,Loft,Entire home/apt,3.0,3.0,Real Bed,$125.00,0
30493,25856211,30940393,2015-04-09,f,3.0,t,Bushwick,Brooklyn,40.68869,-73.90581999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,0
30495,25858685,8870072,2013-09-16,f,1.0,t,Rockaway Beach,Queens,40.58644,-73.80197,t,House,Private room,2.0,2.0,Real Bed,$98.00,89
30501,25867892,22541573,2014-10-14,f,127.0,t,Chelsea,Manhattan,40.7381,-73.9975,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$235.00,327
30504,25870448,5368201,2013-03-07,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68565,-73.92599,t,Condominium,Entire home/apt,3.0,3.0,Real Bed,$195.00,0
30509,25885192,89886720,2016-08-14,f,1.0,t,Upper East Side,Manhattan,40.78029,-73.95251999999999,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$125.00,0
30517,25893224,24000784,2014-11-21,f,3.0,t,Sunset Park,Brooklyn,40.64524,-74.01273,t,Apartment,Entire home/apt,3.0,6.0,Real Bed,$90.00,155
30521,25894828,4131257,2012-11-12,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.684020000000004,-73.95336999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,88
30524,25895132,17221402,2014-06-24,t,1.0,t,Morningside Heights,Manhattan,40.81313,-73.96148000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,0
30525,25895230,18567068,2014-07-21,f,1.0,t,Hell's Kitchen,Manhattan,40.76201,-73.99876,t,Apartment,Private room,1.0,1.0,Real Bed,$150.00,0
30527,25902370,181863187,2018-04-01,f,2.0,t,Clinton Hill,Brooklyn,40.69462,-73.96996,t,Townhouse,Entire home/apt,3.0,4.0,Real Bed,$550.00,48
30529,25904988,175408,2010-07-20,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68242,-73.92788,t,House,Entire home/apt,3.0,3.0,Real Bed,$250.00,0
30531,25909160,144119993,2017-08-03,f,2.0,t,Fordham,Bronx,40.85801,-73.88247,t,Apartment,Private room,1.0,1.0,Real Bed,$21.00,0
30532,25909161,32605338,2015-05-04,f,1.0,t,Upper East Side,Manhattan,40.76917,-73.9516,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$150.00,4
30538,25917234,6255854,2013-05-06,t,1.0,t,Tribeca,Manhattan,40.71785,-74.00549000000001,t,Loft,Entire home/apt,1.0,1.0,Real Bed,$275.00,24
30541,25918869,26876408,2015-01-28,f,1.0,t,Columbia St,Brooklyn,40.68051,-74.00357,t,Apartment,Entire home/apt,3.0,3.0,Real Bed,$160.00,166
30550,25935054,4132784,2012-11-12,f,1.0,t,Lower East Side,Manhattan,40.718959999999996,-73.986,t,Condominium,Entire home/apt,1.0,1.0,Real Bed,$325.00,29
30557,25942651,25237492,2014-12-26,t,34.0,t,Washington Heights,Manhattan,40.84089,-73.94109,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,364
30559,25943635,10304316,2013-11-27,f,1.0,t,Astoria,Queens,40.76549,-73.9149,t,House,Private room,1.0,1.0,Real Bed,$60.00,0
30567,25948225,2974873,2012-07-18,f,2.0,t,Bushwick,Brooklyn,40.693290000000005,-73.91579,t,House,Private room,1.0,1.0,Real Bed,$70.00,336
30571,25948942,131236711,2017-05-20,f,1.0,t,Lower East Side,Manhattan,40.71026,-73.98738,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,0
30575,25949877,195057742,2018-06-11,f,1.0,t,Upper East Side,Manhattan,40.77772,-73.94821999999999,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$135.00,0
30578,25951810,16962957,2014-06-18,f,3.0,t,East Village,Manhattan,40.72891,-73.97977,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$350.00,3
