,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
2489,15596539,1427352,2011-11-20,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.690978827971456,-73.92622263667229,t,House,Private room,1.0,1.0,Real Bed,$45.00,47
2493,19272185,6305677,2013-05-09,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68971330239247,-73.93437807389931,t,Apartment,Private room,1.0,1.0,Real Bed,$47.00,54
2494,15990051,31175000,2015-04-13,t,3.0,t,Bedford-Stuyvesant,Brooklyn,40.68327001090486,-73.93857879675896,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$115.00,341
2495,19922292,51870709,2015-12-21,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.693408516284094,-73.94789198992706,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,0
2496,9698678,30789108,2015-04-07,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.682030342267204,-73.92125682731671,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,31
2497,17680571,3811546,2012-10-09,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69075901548676,-73.95403534671958,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$122.00,84
2498,20170965,22375303,2014-10-10,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.681853476810666,-73.93060286251101,t,Apartment,Private room,1.0,1.0,Real Bed,$85.00,338
2502,2214256,7644839,2013-07-22,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68631098807495,-73.93992726062562,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$112.00,297
2510,14807279,43853650,2015-09-10,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.6861214335563,-73.95927195550979,t,Other,Entire home/apt,2.0,3.0,Real Bed,$225.00,203
2511,9826494,18215000,2014-07-16,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69573061904431,-73.95345420858642,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,0
2513,4190301,21739563,2014-09-24,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69524678619585,-73.93768158528533,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,0
2514,913496,4903508,2013-01-30,f,4.0,t,Bedford-Stuyvesant,Brooklyn,40.694678358290155,-73.94387488665538,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,179
2515,15715599,7728010,2013-07-25,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69116538257278,-73.95875621287372,t,Apartment,Private room,1.0,1.0,Real Bed,$70.00,0
2516,3010571,15215529,2014-05-07,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.688877201409724,-73.95862726110917,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$165.00,14
2517,5885373,4291007,2012-11-30,f,20.0,t,Bedford-Stuyvesant,Brooklyn,40.69286387630196,-73.96034320319221,t,Apartment,Private room,1.0,1.0,Real Bed,$95.00,305
2518,18871286,11176081,2014-01-10,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.694748200095205,-73.9445701173322,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$100.00,81
2519,7205861,37731444,2015-07-06,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68434837215528,-73.93805831968992,t,Townhouse,Entire home/apt,1.0,2.0,Real Bed,$125.00,156
2520,2739707,12449641,2014-02-21,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.68285725580483,-73.9305538314599,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,0
2522,782063,4125000,2012-11-12,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.681905653691075,-73.95475061223652,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$119.00,0
2524,14020260,6552063,2013-05-24,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69747383386153,-73.94952981843515,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$85.00,6
2526,13019436,7858405,2013-07-31,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.68824452914188,-73.94342573200979,t,Townhouse,Entire home/apt,3.0,3.0,Real Bed,$260.00,30
2527,7599873,7182520,2013-06-29,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68619738112765,-73.95420291949048,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$90.00,0
2528,784124,3483450,2012-09-05,f,4.0,t,Bedford-Stuyvesant,Brooklyn,40.68175780725492,-73.91399835653844,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$149.00,330
2529,784122,3483450,2012-09-05,f,4.0,t,Bedford-Stuyvesant,Brooklyn,40.68019910044917,-73.91366212912267,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$149.00,339
2530,7074232,4133458,2012-11-12,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68358281296565,-73.95282191086491,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,0
2533,20053253,74314960,2016-05-27,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69182171012688,-73.94359910276059,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,34
2534,4713896,10148113,2013-11-20,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68926960211695,-73.94767371985117,t,Apartment,Private room,1.0,1.0,Real Bed,$70.00,0
