,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
3736,2598087,13304615,2014-03-19,f,6.0,t,Greenpoint,Brooklyn,40.72707,-73.95681,t,Loft,Private room,1.0,1.0,Real Bed,$75.00,0
3738,2600199,13314736,2014-03-19,f,1.0,t,Williamsburg,Brooklyn,40.70942,-73.94693000000001,t,Loft,Entire home/apt,2.0,2.0,Real Bed,$100.00,192
3739,2606083,13345581,2014-03-20,f,2.0,t,Crown Heights,Brooklyn,40.67648,-73.95098,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$112.00,0
3740,2606370,13347139,2014-03-20,f,1.0,t,Harlem,Manhattan,40.80007,-73.9562,t,Townhouse,Entire home/apt,3.0,5.0,Real Bed,$450.00,0
3741,2607583,13347167,2014-03-20,f,29.0,t,Upper East Side,Manhattan,40.77231,-73.95588000000001,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$92.00,278
3742,2607741,13347167,2014-03-20,f,29.0,t,Upper East Side,Manhattan,40.77263,-73.95567,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$116.00,316
3743,2608217,13322169,2014-03-19,f,1.0,t,Morningside Heights,Manhattan,40.81503,-73.96029,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$150.00,0
3746,2612035,10894722,2013-12-29,f,1.0,t,Upper West Side,Manhattan,40.79733,-73.96104,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$90.00,0
3747,2613864,6222620,2013-05-04,f,1.0,t,Hell's Kitchen,Manhattan,40.76608,-73.99203,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$90.00,0
3749,2619549,13347167,2014-03-20,f,29.0,t,Upper East Side,Manhattan,40.77265,-73.9574,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$145.00,242
3750,2619802,13347167,2014-03-20,f,29.0,t,Upper East Side,Manhattan,40.77276,-73.95675,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$128.00,327
3751,2620068,13347167,2014-03-20,f,29.0,t,Upper East Side,Manhattan,40.77107,-73.95682,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$117.00,323
