,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
33381,4098497,1624110,2012-01-18,f,5.0,t,Upper West Side,Manhattan,40.78228450263117,-73.97986562459359,t,Apartment,Shared room,1.0,1.0,Real Bed,$46.00,365
33384,5873309,30498160,2015-04-02,f,1.0,t,Upper West Side,Manhattan,40.8033998555686,-73.96832098721643,t,Dorm,Shared room,1.0,1.0,Real Bed,$40.00,0
33385,15506957,53725579,2016-01-07,f,1.0,t,Upper West Side,Manhattan,40.797668823248,-73.96438337158315,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,191
33386,9412276,7683847,2013-07-23,f,1.0,t,Upper West Side,Manhattan,40.79632205382809,-73.96879105374934,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$110.00,0
33387,8162607,22372311,2014-10-10,t,1.0,t,Upper West Side,Manhattan,40.798768668891796,-73.96258694400335,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$185.00,3
33388,4476253,18280046,2014-07-17,f,1.0,t,Upper West Side,Manhattan,40.78203743625679,-73.97624176062256,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$219.00,0
33389,9347368,48511336,2015-11-08,f,1.0,t,Upper West Side,Manhattan,40.78478505524431,-73.9752147014632,t,Apartment,Entire home/apt,2.0,4.0,Real Bed,$175.00,0
33394,16289576,10795846,2013-12-24,f,2.0,t,Upper West Side,Manhattan,40.78919659343134,-73.97339532055217,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,0
33396,1609676,8572583,2013-09-01,f,1.0,t,Upper West Side,Manhattan,40.78889443167125,-73.98057084314502,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$225.00,355
33397,7052026,36976268,2015-06-28,f,1.0,t,Upper West Side,Manhattan,40.7680706057365,-73.98342040214227,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$400.00,0
33398,1745575,3329478,2012-08-21,f,2.0,t,Upper West Side,Manhattan,40.80064869362203,-73.96209985525171,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$322.00,306
